text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
기대된다 내일국장 총알준비..,기대된다 내일국장 총알준비,기대된다 내일국장 총알준비..,2024-10-02T00:39:36+09:00,0.1018,0.6337,0.2645,1
할일,할일,할일,2024-12-04T08:52:31+09:00,0.0319,0.9545,0.0136,1
숨막힌다. 꼭 심정지환자를 살리는것처럼 보이네,숨막힌다 꼭 심정지환자를 살리는것처럼 보이네,숨막힌다. 꼭 심정지환자를 살리는것처럼 보이네,2025-02-20T10:43:55+09:00,0.0874,0.8742,0.0383,1
"일봉이 약간 흘들려도, 이전에 말씀드린대로 6자는 안보여주고 있네요. 주봉 작은형과 월봉 큰형이 우상향 에너지가 있어 기승전 우상향인데요.
6만대에서 70초 올라와 시간 보내면서 이평선들 다시 정배열 딱 되었네요.

이흐름 그대로 안정적으로 다음고지 근저 73.6 안착 할것 같아요. 일단 근고 73.6안착후 이평선들 어떻게 되는지 보기로 하지요.

6자 안보여준 삼성이 칭찬하며, 그럼 모두 성투하세요.",일봉이 약간 흘들려도 이전에 말씀드린대로 6자는 안보여주고 있네요 주봉 작은형과 월봉 큰형이 우상향 에너지가 있어 기승전 우상향인데요 6만대에서 70초 올라와 시간 보내면서 이평선들 다시 정배열 딱 되었네요 이흐름 그대로 안정적으로 다음고지 근저 736 안착 할것 같아요 일단 근고 736안착후 이평선들 어떻게 되는지 보기로 하지요 6자 안보여준 삼성이 칭찬하며 그럼 모두 성투하세요,"일봉이 약간 흘들려도, 이전에 말씀드린대로 6자는 안보여주고 있네요. 주봉 작은형과 월봉 큰형이 우상향 에너지가 있어 기승전 우상향인데요. 6만대에서 70초 올라와 시간 보내면서 이평선들 다시 정배열 딱 되었네요. 이흐름 그대로 안정적으로 다음고지 근저 73.6 안착 할것 같아요. 일단 근고 73.6안착후 이평선들 어떻게 되는지 보기로 하지요. 6자 안보여준 삼성이 칭찬하며, 그럼 모두 성투하세요.",2023-09-12T16:39:41+09:00,0.1907,0.4054,0.4039,1
오늘만 하닉이랑 7프로 갭 발생 곧 역전할듯?,오늘만 하닉이랑 7프로 갭 발생 곧 역전할듯,오늘만 하닉이랑 7프로 갭 발생 곧 역전할듯?,2024-10-10T15:36:58+09:00,0.3507,0.3421,0.3072,0
올라가질 못해서 적절히 수익실현,올라가질 못해서 적절히 수익실현,올라가질 못해서 적절히 수익실현,2024-10-21T10:58:22+09:00,0.2825,0.3985,0.3189,1
3년 넘게 걸렸다 드디어 떠난다🥹,3년 넘게 걸렸다 드디어 떠난다,3년 넘게 걸렸다 드디어 떠난다,2024-07-05T14:04:55+09:00,0.2215,0.4485,0.33,1
오늘 살짝오르면서 개인이 있는돈 없는돈 다끌어와서 매수하고 조만간 6만밑으로가면서 다팔아제끼면 그때부터 외인들이 들어오는 시나리오임,오늘 살짝오르면서 개인이 있는돈 없는돈 다끌어와서 매수하고 조만간 6만밑으로가면서 다팔아제끼면 그때부터 외인들이 들어오는 시나리오임,오늘 살짝오르면서 개인이 있는돈 없는돈 다끌어와서 매수하고 조만간 6만밑으로가면서 다팔아제끼면 그때부터 외인들이 들어오는 시나리오임,2024-09-20T09:00:28+09:00,0.2891,0.1459,0.565,2
전지 익절후 다들 오시네요,전지 익절후 다들 오시네요,전지 익절후 다들 오시네요,2023-07-27T11:15:14+09:00,0.1127,0.6131,0.2742,1
외인 무섭게 파네요 개같이 물려버림,외인 무섭게 파네요 개같이 물려버림,외인 무섭게 파네요 개같이 물려버림,2024-09-03T14:25:16+09:00,0.2565,0.6859,0.0576,1
"속이 조금 시원,,,",속이 조금 시원,"속이 조금 시원,,,",2025-02-10T12:51:34+09:00,0.0309,0.9157,0.0533,1
박판에 저엄청난거 머나요? 아시는분?,박판에 저엄청난거 머나요 아시는분,박판에 저엄청난거 머나요? 아시는분?,2024-12-12T15:32:03+09:00,0.0664,0.9054,0.0282,1
5만 초반에 다시 진입해보겠습니다,5만 초반에 다시 진입해보겠습니다,5만 초반에 다시 진입해보겠습니다,2025-02-14T09:20:13+09:00,0.1083,0.5738,0.318,1
8만전자를 향하여 고고,8만전자를 향하여 고고,8만전자를 향하여 고고,2025-03-19T11:43:28+09:00,0.0401,0.201,0.7589,2
삼만전자 😃,삼만전자,삼만전자,2025-02-03T09:49:39+09:00,0.0483,0.9161,0.0356,1
외국인들 다팔길래 쫄려서 조금만 묵고 갑니데잉,외국인들 다팔길래 쫄려서 조금만 묵고 갑니데잉,외국인들 다팔길래 쫄려서 조금만 묵고 갑니데잉,2024-04-05T09:32:42+09:00,0.3438,0.5759,0.0803,1
트럼프 관세 적용되면,트럼프 관세 적용되면,트럼프 관세 적용되면,2025-02-03T00:11:02+09:00,0.0739,0.8541,0.072,1
외인 도망치고있군ㅜㅜ,외인 도망치고있군,외인 도망치고있군ㅜㅜ,2024-12-20T10:03:55+09:00,0.059,0.9218,0.0193,1
삼전은 의심 안함니다.,삼전은 의심 안함니다,삼전은 의심 안함니다.,2024-08-16T15:42:28+09:00,0.059,0.8946,0.0464,1
진심 궁금해서 물어봅니다,진심 궁금해서 물어봅니다,진심 궁금해서 물어봅니다,2024-11-13T12:14:13+09:00,0.0366,0.9412,0.0222,1
"2008. 경제 대공황 때도 6번의 데드캣바운스가 존재했다는걸. 아시나요? 진정 야수의 심장을 가진 남자라면 내일이 첫번째 반등임을 알고 있는돈 없는돈 영혼까지 끌어 총알준비하십시오. 모자라면 마누라 장인장모 자식들 탈탈털고 마통까지 뚫어 준비하십시오. 

내일 당신은 부자가 될수도 있습니다.",2008 경제 대공황 때도 6번의 데드캣바운스가 존재했다는걸 아시나요 진정 야수의 심장을 가진 남자라면 내일이 첫번째 반등임을 알고 있는돈 없는돈 영혼까지 끌어 총알준비하십시오 모자라면 마누라 장인장모 자식들 탈탈털고 마통까지 뚫어 준비하십시오 내일 당신은 부자가 될수도 있습니다,2008. 경제 대공황 때도 6번의 데드캣바운스가 존재했다는걸. 아시나요? 진정 야수의 심장을 가진 남자라면 내일이 첫번째 반등임을 알고 있는돈 없는돈 영혼까지 끌어 총알준비하십시오. 모자라면 마누라 장인장모 자식들 탈탈털고 마통까지 뚫어 준비하십시오. 내일 당신은 부자가 될수도 있습니다.,2024-09-11T18:08:03+09:00,0.1754,0.5037,0.3209,1
"그때 조롱 안하고 살껄 살껄 살껄 ㅋㅋ
망무새 분들 다음 레퍼토리인가요?",그때 조롱 안하고 살껄 살껄 살껄 망무새 분들 다음 레퍼토리인가요,그때 조롱 안하고 살껄 살껄 살껄 ㅋㅋ 망무새 분들 다음 레퍼토리인가요?,2025-02-10T14:25:23+09:00,0.17,0.7383,0.0917,1
역시... ㅋ,역시,역시... ㅋ,2025-02-28T09:46:39+09:00,0.0248,0.9549,0.0203,1
미친듯이 매수해서 어제 63000에 숏친 외인들 숏스퀴징 받아내서 죽여봅시다🩸,미친듯이 매수해서 어제 63000에 숏친 외인들 숏스퀴징 받아내서 죽여봅시다,미친듯이 매수해서 어제 63000에 숏친 외인들 숏스퀴징 받아내서 죽여봅시다,2024-09-25T09:25:03+09:00,0.2155,0.1335,0.6511,2
"깝깝하네 진짜
가만좀 지커보지 그걸 냉큼 팔고들있네",깝깝하네 진짜 가만좀 지커보지 그걸 냉큼 팔고들있네,깝깝하네 진짜 가만좀 지커보지 그걸 냉큼 팔고들있네,2024-03-22T09:09:59+09:00,0.1731,0.7913,0.0356,1
어이가없네ㅋㅋ 왜 오늘 오르나 했더니 미리 알았나보구나,어이가없네 왜 오늘 오르나 했더니 미리 알았나보구나,어이가없네ㅋㅋ 왜 오늘 오르나 했더니 미리 알았나보구나,2024-11-15T18:20:42+09:00,0.2222,0.3725,0.4053,2
제발 6만원 가자 물타게,제발 6만원 가자 물타게,제발 6만원 가자 물타게,2024-05-30T09:48:50+09:00,0.0483,0.2123,0.7394,2
일단 빠짐,일단 빠짐,일단 빠짐,2025-02-12T09:37:55+09:00,0.0719,0.8621,0.066,1
달려라~~달려라 달려~~라 삼쩐,달려라달려라 달려라 삼쩐,달려라달려라 달려라 삼쩐,2025-01-21T09:06:36+09:00,0.0655,0.6105,0.324,1
120만 대군 언제 물리치누,120만 대군 언제 물리치누,120만 대군 언제 물리치누,2024-07-05T11:07:30+09:00,0.0751,0.8882,0.0367,1
낼은 -800 원 빠지나??,낼은 800 원 빠지나,낼은 800 원 빠지나??,2024-11-04T18:26:26+09:00,0.0988,0.837,0.0643,1
입주,입주,입주,2024-08-02T15:39:22+09:00,0.0749,0.8856,0.0395,1
오늘도 라면 물이나 올리자 ㅜㅜ,오늘도 라면 물이나 올리자,오늘도 라면 물이나 올리자 ㅜㅜ,2024-11-05T12:23:05+09:00,0.0853,0.7611,0.1536,1
하이닉스는 올랐는데 넌...,하이닉스는 올랐는데 넌,하이닉스는 올랐는데 넌...,2025-01-16T12:17:50+09:00,0.1872,0.6698,0.143,1
나이스다 ㅎㅎ,나이스다,나이스다 ㅎㅎ,2024-12-12T15:06:00+09:00,0.0192,0.9509,0.0298,1
제발 7만5천까지만이라도🙏🙏,제발 7만5천까지만이라도,제발 7만5천까지만이라도,2023-06-09T10:33:50+09:00,0.0382,0.9308,0.031,1
삼또속하지말고 줄때먹어,삼또속하지말고 줄때먹어,삼또속하지말고 줄때먹어,2025-03-17T13:20:31+09:00,0.102,0.8519,0.0461,1
삼전주주분들 핸드폰 갤럭시 쓰시나요?,삼전주주분들 핸드폰 갤럭시 쓰시나요,삼전주주분들 핸드폰 갤럭시 쓰시나요?,2025-01-08T12:48:25+09:00,0.1173,0.8414,0.0413,1
망,망,망,2024-11-14T10:00:38+09:00,0.0801,0.893,0.0269,1
"그래도 9만전자어쩌구할때 몰래 이백만원어치라도 팔아서…다행이다 ㅠㅠ
나머지도 지금 털어버려야되나 평단오기전에 
고민이내",그래도 9만전자어쩌구할때 몰래 이백만원어치라도 팔아서다행이다 나머지도 지금 털어버려야되나 평단오기전에 고민이내,그래도 9만전자어쩌구할때 몰래 이백만원어치라도 팔아서다행이다 ㅠㅠ 나머지도 지금 털어버려야되나 평단오기전에 고민이내,2024-10-09T07:07:25+09:00,0.1645,0.7467,0.0888,1
더더 쭉쭉 올라가즈아,더더 쭉쭉 올라가즈아,더더 쭉쭉 올라가즈아,2024-06-03T11:25:00+09:00,0.0615,0.0795,0.8591,2
오지마을 시골할아버지들 귀에도 삼성 폭락소식 전해졌으니 이제 오르나,오지마을 시골할아버지들 귀에도 삼성 폭락소식 전해졌으니 이제 오르나,오지마을 시골할아버지들 귀에도 삼성 폭락소식 전해졌으니 이제 오르나,2024-11-15T09:50:12+09:00,0.3465,0.3126,0.341,0
"저러다 5만5천에 잡고 6만에 잡는거지
발목일때 사요~외인현물수급보다 선물 수급을보세요 선물 사고있다니까는!
더 안떨어져요~",저러다 5만5천에 잡고 6만에 잡는거지 발목일때 사요외인현물수급보다 선물 수급을보세요 선물 사고있다니까는 더 안떨어져요,저러다 5만5천에 잡고 6만에 잡는거지 발목일때 사요외인현물수급보다 선물 수급을보세요 선물 사고있다니까는! 더 안떨어져요,2024-11-15T10:15:11+09:00,0.3118,0.5348,0.1534,1
하..ㅅ발 진짜,하발 진짜,하..ㅅ발 진짜,2024-11-14T16:31:20+09:00,0.0434,0.9364,0.0203,1
오늘 와리가리가 느낌있는데? ㅎㅎ,오늘 와리가리가 느낌있는데,오늘 와리가리가 느낌있는데? ㅎㅎ,2024-11-07T12:27:11+09:00,0.0665,0.8686,0.0649,1
삼전은 줄때나가라 욕심부리다 피곤해진다,삼전은 줄때나가라 욕심부리다 피곤해진다,삼전은 줄때나가라 욕심부리다 피곤해진다,2024-06-14T11:14:22+09:00,0.1004,0.8313,0.0683,1
외인이 사야하는데 ㅠ,외인이 사야하는데,외인이 사야하는데 ㅠ,2024-11-14T10:18:35+09:00,0.1017,0.8611,0.0372,1
아 삼성 노답이네 ㅜ,아 삼성 노답이네,아 삼성 노답이네 ㅜ,2024-11-11T16:03:45+09:00,0.0651,0.9132,0.0217,1
팔까말까팔까말까,팔까말까팔까말까,팔까말까팔까말까,2025-01-08T11:47:43+09:00,0.2142,0.7025,0.0833,1
오늘 매출이 저조하네요 안팔고 안사나,오늘 매출이 저조하네요 안팔고 안사나,오늘 매출이 저조하네요 안팔고 안사나,2024-11-22T15:16:22+09:00,0.2263,0.7267,0.0469,1
"삼성증권, 삼성선물, KB 신한 에서 지정호가 매수채우네요.. 

65200 ~ 64000 내일 코어cpi 까지 예상함 

불확실 및 악재시 62500~ 

그이하로는 안떨어집니다.. 옵션만기가 얼마안남았거든요  LP들이라 팔았던거 어느정도 매수세 들어올거고 콜옵션 팔것 같습니다. 

6만 이하는 외국인도 원하지 않을겁니다",삼성증권 삼성선물 KB 신한 에서 지정호가 매수채우네요 65200 64000 내일 코어cpi 까지 예상함 불확실 및 악재시 62500 그이하로는 안떨어집니다 옵션만기가 얼마안남았거든요 LP들이라 팔았던거 어느정도 매수세 들어올거고 콜옵션 팔것 같습니다 6만 이하는 외국인도 원하지 않을겁니다,"삼성증권, 삼성선물, KB 신한 에서 지정호가 매수채우네요.. 65200 64000 내일 코어cpi 까지 예상함 불확실 및 악재시 62500 그이하로는 안떨어집니다.. 옵션만기가 얼마안남았거든요 LP들이라 팔았던거 어느정도 매수세 들어올거고 콜옵션 팔것 같습니다. 6만 이하는 외국인도 원하지 않을겁니다",2024-09-11T15:06:39+09:00,0.2498,0.1614,0.5888,2
지금 기관이 사서 5만원 지킨 것 같은데 내일 외국에서 또 빼면 많이 낮아질까요..?,지금 기관이 사서 5만원 지킨 것 같은데 내일 외국에서 또 빼면 많이 낮아질까요,지금 기관이 사서 5만원 지킨 것 같은데 내일 외국에서 또 빼면 많이 낮아질까요..?,2024-11-14T13:17:47+09:00,0.246,0.6377,0.1163,1
엥 6만원이네?,엥 6만원이네,엥 6만원이네?,2024-10-31T11:14:11+09:00,0.0338,0.9405,0.0257,1
58000???,58000,58000???,2024-11-25T15:23:42+09:00,0.0273,0.9504,0.0223,1
진짜 망했구나,진짜 망했구나,진짜 망했구나,2024-10-10T10:18:24+09:00,0.2648,0.6358,0.0994,1
겨우 100원오르고 생색은 ㅋㅋ,겨우 100원오르고 생색은,겨우 100원오르고 생색은 ㅋㅋ,2024-06-11T14:13:40+09:00,0.1616,0.6072,0.2311,1
"또 오르는 척
희망고문...",또 오르는 척 희망고문,또 오르는 척 희망고문...,2024-12-18T12:06:07+09:00,0.2221,0.5092,0.2687,1
득뎀ㅋㅋ,득뎀,득뎀ㅋㅋ,2024-04-03T15:24:13+09:00,0.057,0.9128,0.0302,1
올라가자,올라가자,올라가자,2024-05-07T02:46:33+09:00,0.0353,0.0826,0.8821,2
얼마까지 보시나요?,얼마까지 보시나요,얼마까지 보시나요?,2024-11-26T14:04:25+09:00,0.063,0.9053,0.0317,1
지금이라도  손절하고 비트코인 사세요~,지금이라도 손절하고 비트코인 사세요,지금이라도 손절하고 비트코인 사세요,2024-11-13T12:57:47+09:00,0.367,0.4305,0.2025,1
오늘같이 오르자,오늘같이 오르자,오늘같이 오르자,2024-10-28T20:55:04+09:00,0.0663,0.1264,0.8073,2
주식을 여러번 나눠서 구매했다가 일부를 팔게되면 선입선출인가요? 아시는 분,주식을 여러번 나눠서 구매했다가 일부를 팔게되면 선입선출인가요 아시는 분,주식을 여러번 나눠서 구매했다가 일부를 팔게되면 선입선출인가요? 아시는 분,2023-09-13T09:56:38+09:00,0.2412,0.6637,0.0951,1
73500 오면. 1주. 구매. 20년 뒤에. 판다,73500 오면 1주 구매 20년 뒤에 판다,73500 오면. 1주. 구매. 20년 뒤에. 판다,2024-08-05T11:53:11+09:00,0.151,0.639,0.2099,1
호들갑 레전드 널뛰기 죙일 뛰면서 주식 어케하냐 첨엔 웃겨서 구경했는데 맨날 같은 레파토리라 이제 좀 신기함,호들갑 레전드 널뛰기 죙일 뛰면서 주식 어케하냐 첨엔 웃겨서 구경했는데 맨날 같은 레파토리라 이제 좀 신기함,호들갑 레전드 널뛰기 죙일 뛰면서 주식 어케하냐 첨엔 웃겨서 구경했는데 맨날 같은 레파토리라 이제 좀 신기함,2025-01-09T09:52:47+09:00,0.2735,0.4341,0.2924,1
외국인과 기관이 사고 있네요!!,외국인과 기관이 사고 있네요,외국인과 기관이 사고 있네요!!,2025-01-08T12:07:14+09:00,0.1913,0.7387,0.0699,1
오늘 떨어져애되지않음?,오늘 떨어져애되지않음,오늘 떨어져애되지않음?,2024-11-07T09:17:40+09:00,0.149,0.6862,0.1649,1
개쓰,개쓰,개쓰,2024-11-11T13:37:28+09:00,0.0521,0.9259,0.0219,1
"이젠 사고 싶어도 살 수 없는 주식이 되버렸구만
그래도 갈 놈은 갈까^^
궁금해지네",이젠 사고 싶어도 살 수 없는 주식이 되버렸구만 그래도 갈 놈은 갈까 궁금해지네,이젠 사고 싶어도 살 수 없는 주식이 되버렸구만 그래도 갈 놈은 갈까 궁금해지네,2024-07-05T09:38:59+09:00,0.2276,0.6047,0.1677,1
올라가!!!,올라가,올라가!!!,2024-11-20T15:16:53+09:00,0.0471,0.185,0.7679,2
오르네? ㅋㅋㅋㅋㅋ,오르네,오르네? ㅋㅋㅋㅋㅋ,2025-02-04T10:22:38+09:00,0.1621,0.3992,0.4387,2
에휴,에휴,에휴,2025-02-06T09:15:40+09:00,0.0494,0.9367,0.0139,1
재용아 머하니?,재용아 머하니,재용아 머하니?,2024-09-19T09:24:53+09:00,0.0656,0.9138,0.0206,1
윤재앙이네요,윤재앙이네요,윤재앙이네요,2024-11-14T18:06:44+09:00,0.1166,0.8253,0.058,1
"재용이형  내가  그냥 삼전산돈 배달이라도 해서 매꿀테니,,  그냥 망해라..
정신좀차려 재용이형 
이게뭐냐 삼성이 쪽팔리게..",재용이형 내가 그냥 삼전산돈 배달이라도 해서 매꿀테니 그냥 망해라 정신좀차려 재용이형 이게뭐냐 삼성이 쪽팔리게,"재용이형 내가 그냥 삼전산돈 배달이라도 해서 매꿀테니,, 그냥 망해라.. 정신좀차려 재용이형 이게뭐냐 삼성이 쪽팔리게..",2024-11-12T10:03:13+09:00,0.1845,0.629,0.1865,1
어떤가요?,어떤가요,어떤가요?,2024-04-04T17:21:13+09:00,0.0271,0.9488,0.024,1
하이닉스반만이라도 따라가줘,하이닉스반만이라도 따라가줘,하이닉스반만이라도 따라가줘,2024-04-26T15:19:35+09:00,0.0903,0.7994,0.1103,1
매도벽 얇게 쳐놓고 올라갈 수 있다는 희망주면서 찔끔찔끔 매도수량 늘리면서 가둬놓고 조패는중ㅋㅋ 뭔 밈코인이냐 이거?ㅋㅋ,매도벽 얇게 쳐놓고 올라갈 수 있다는 희망주면서 찔끔찔끔 매도수량 늘리면서 가둬놓고 조패는중 뭔 밈코인이냐 이거,매도벽 얇게 쳐놓고 올라갈 수 있다는 희망주면서 찔끔찔끔 매도수량 늘리면서 가둬놓고 조패는중ㅋㅋ 뭔 밈코인이냐 이거?ㅋㅋ,2024-09-19T11:41:57+09:00,0.4397,0.2776,0.2827,0
"순조롭습니다.

예상 도착지는 33,000원 입니다.

감사합니다.",순조롭습니다 예상 도착지는 33000원 입니다 감사합니다,"순조롭습니다. 예상 도착지는 33,000원 입니다. 감사합니다.",2024-11-13T17:19:30+09:00,0.0806,0.723,0.1964,1
5년 장투하면 -인 주식이 있다?,5년 장투하면 인 주식이 있다,5년 장투하면 인 주식이 있다?,2024-11-14T16:21:24+09:00,0.1058,0.8348,0.0594,1
팔면 나빼고 갈까봐....팔지도 못하겠고 아휴,팔면 나빼고 갈까봐팔지도 못하겠고 아휴,팔면 나빼고 갈까봐....팔지도 못하겠고 아휴,2024-06-12T14:32:23+09:00,0.2398,0.6833,0.077,1
오 멋져 ~~~삼성아 힘내 !,오 멋져 삼성아 힘내,오 멋져 삼성아 힘내 !,2024-11-15T12:32:37+09:00,0.0272,0.8876,0.0853,1
신용으로 어제도 디지게들어왔는데 ㄹㅇ 내가외인이여도 절때안올린다니까ㅋㅋㅋㅋ,신용으로 어제도 디지게들어왔는데 내가외인이여도 절때안올린다니까,신용으로 어제도 디지게들어왔는데 ㄹㅇ 내가외인이여도 절때안올린다니까ㅋㅋㅋㅋ,2024-10-25T09:08:25+09:00,0.2098,0.6738,0.1164,1
제발제발제발제발,제발제발제발제발,제발제발제발제발,2024-05-24T12:28:51+09:00,0.0389,0.9296,0.0315,1
"더 떨어져야 추매하는데, 6만전자로 돌아와.",더 떨어져야 추매하는데 6만전자로 돌아와,"더 떨어져야 추매하는데, 6만전자로 돌아와.",2023-07-21T10:57:03+09:00,0.3942,0.2259,0.3799,0
177만 .. 에혀 ㅋㅋ,177만 에혀,177만 .. 에혀 ㅋㅋ,2024-10-17T09:36:58+09:00,0.024,0.958,0.0179,1
그냥 무지성 매수야,그냥 무지성 매수야,그냥 무지성 매수야,2024-10-07T09:11:54+09:00,0.3221,0.2873,0.3906,2
달긴하네,달긴하네,달긴하네,2024-10-29T13:09:29+09:00,0.0512,0.9164,0.0324,1
다들 왜이래ㅋㅋㅋ,다들 왜이래,다들 왜이래ㅋㅋㅋ,2024-08-05T11:10:37+09:00,0.0555,0.9273,0.0172,1
"외국에 오래 살아봐
왜 삼전들고 있는지 ^$^",외국에 오래 살아봐 왜 삼전들고 있는지,외국에 오래 살아봐 왜 삼전들고 있는지,2023-11-09T10:46:43+09:00,0.1245,0.829,0.0465,1
월드컵보다 잼있다,월드컵보다 잼있다,월드컵보다 잼있다,2024-11-14T10:32:17+09:00,0.0399,0.8653,0.0948,1
이재용 구속되서 5만원와라 싹다주워주마,이재용 구속되서 5만원와라 싹다주워주마,이재용 구속되서 5만원와라 싹다주워주마,2023-06-21T09:56:18+09:00,0.0753,0.7513,0.1734,1
치킨두마리,치킨두마리,치킨두마리,2025-02-04T14:57:46+09:00,0.0475,0.9298,0.0226,1
배당금효과좀읍으려나요 오늘?!,배당금효과좀읍으려나요 오늘,배당금효과좀읍으려나요 오늘?!,2024-12-26T09:03:21+09:00,0.1181,0.8157,0.0662,1
정상인은 애진작 손절했는데 물타니기 추매기회니 하면서 계속 물량 받아주는건 진지하게 지능문제임,정상인은 애진작 손절했는데 물타니기 추매기회니 하면서 계속 물량 받아주는건 진지하게 지능문제임,정상인은 애진작 손절했는데 물타니기 추매기회니 하면서 계속 물량 받아주는건 진지하게 지능문제임,2024-11-12T14:30:28+09:00,0.615,0.2434,0.1416,0
"시장전망치 11프로 하회입니다.........

탈출하세여",시장전망치 11프로 하회입니다 탈출하세여,시장전망치 11프로 하회입니다......... 탈출하세여,2024-10-08T08:51:00+09:00,0.2597,0.4853,0.2549,1
"아..팔고 싶다 정말..
왜.지지부진하냐..
좋은 기업인가 아는데..
주주는 뭐냐고요
하이닉스 5%갈때. 삼전 2%가고..
떨어질때..10% 떨구고..",아팔고 싶다 정말 왜지지부진하냐 좋은 기업인가 아는데 주주는 뭐냐고요 하이닉스 5갈때 삼전 2가고 떨어질때10 떨구고,아..팔고 싶다 정말.. 왜.지지부진하냐.. 좋은 기업인가 아는데.. 주주는 뭐냐고요 하이닉스 5갈때. 삼전 2가고.. 떨어질때..10 떨구고..,2024-08-16T10:14:52+09:00,0.3155,0.3637,0.3208,1
잡주무빙 뭔데,잡주무빙 뭔데,잡주무빙 뭔데,2024-12-02T10:13:57+09:00,0.1229,0.8508,0.0263,1
"국장이나 미장이나 모조리 하락인데
왜그런건지 아시는 님 
코멘트 부탁드립니다 ㅡㅡ",국장이나 미장이나 모조리 하락인데 왜그런건지 아시는 님 코멘트 부탁드립니다,국장이나 미장이나 모조리 하락인데 왜그런건지 아시는 님 코멘트 부탁드립니다 ㅡㅡ,2025-02-28T12:47:02+09:00,0.3439,0.4123,0.2438,1
드디어 바닥찍고 반등 ㅜㅜ,드디어 바닥찍고 반등,드디어 바닥찍고 반등 ㅜㅜ,2024-10-23T13:18:09+09:00,0.319,0.2512,0.4298,2
나는 삼전 주식산걸,나는 삼전 주식산걸,나는 삼전 주식산걸,2024-12-02T12:44:05+09:00,0.1306,0.7768,0.0926,1
"줄때 반 익절
오늘 잘버티면 내일올라갈거같긴한데
오늘 마감까지 잘버티길",줄때 반 익절 오늘 잘버티면 내일올라갈거같긴한데 오늘 마감까지 잘버티길,줄때 반 익절 오늘 잘버티면 내일올라갈거같긴한데 오늘 마감까지 잘버티길,2024-10-07T14:05:39+09:00,0.1781,0.242,0.5799,2
